subject,window_start_ms,window_end_ms,label,hr_mean,hr_median,hr_std,hr_min,hr_max,hr_range,hr_iqr,hr_cv,hr_slope,hr_delta_abs,rmssd,pnn50,ibi_mean_ms,ibi_std_ms,motion_mean,motion_median,motion_std,motion_p90,motion_active_fraction,motion_rest_fraction,hr_motion_corr,hr_motion_ratio,temp_mean,temp_median,temp_spread
1,492488,521325,0,98.53846153846153,99.0,1.598816130063579,95.0,100.0,5.0,2.0,0.01622530030509487,-3.451784283797147,1.0,1.1902380714238083,0.0,609.0620971153487,10.034816720229546,0.05045378829104122,0.01988384421297477,0.06316668591435513,0.1269813389994314,0.07692307692307693,0.6153846153846154,-0.14472001322888947,93.80561299966509,0.0,0.0,0.0
1,504325,541325,0,97.33333333333333,97.5,1.5986105077709065,95.0,100.0,5.0,1.75,0.016424080559290136,3.861940298507509,2.0,1.6733200530681511,0.0,616.6042407196193,10.101577953138396,0.0801809407479356,0.06360852935005058,0.06752121681719216,0.15417443154061058,0.16666666666666666,0.3333333333333333,0.6172063070374936,90.10836024003355,0.0,0.0,0.0
1,521325,554325,0,95.85714285714286,95.0,2.2314999074019015,93.0,100.0,7.0,2.5,0.023279432715071997,-11.357142857142836,7.0,1.35400640077266,0.0,626.2659936227188,14.374330207048311,0.061124264515010907,0.030218213217046326,0.07389345514956659,0.15207991151200917,0.14285714285714285,0.5714285714285714,0.4966684799219173,90.33545463306747,0.0,0.0,0.0
1,541325,554325,0,95.16666666666667,95.0,1.5723301886761003,93.0,98.0,5.0,1.5,0.016521858374880214,-20.661654135338527,5.0,1.1832159566199232,0.0,630.6436592265053,10.33975680314156,0.034427421124404285,0.020489750721192947,0.037164943658056004,0.08099320546903582,0.0,0.6666666666666666,-0.5730743695889325,91.99936575852001,0.0,0.0,0.0
1,541325,577325,0,95.5,95.5,1.5,93.0,98.0,5.0,1.5,0.015706806282722512,0.7294832826748133,2.0,1.8516401995451028,0.0,628.427332048745,9.874917867406522,0.04149488754221215,0.031572732958127146,0.03751447394081385,0.09650601540871888,0.0,0.625,-0.38686810847619,91.69512125534015,0.0,0.0,0.0
1,550325,577325,0,95.14285714285714,95.0,1.2453996981544782,93.0,97.0,4.0,1.5,0.01308978661723926,4.078341013824762,0.0,1.8257418583505538,0.0,630.7391083472537,8.287948931695702,0.04310584101723584,0.032927252699207966,0.03984497899703895,0.09785224691427068,0.0,0.5714285714285714,-0.4086209690774578,91.21112489416598,0.0,0.0,0.0
1,553325,577325,0,95.0,95.0,1.5811388300841898,93.0,97.0,4.0,2.5,0.016643566632465155,7.698113207547237,2.0,2.449489742783178,0.0,631.7539659234835,10.516212662790961,0.07184524613233578,0.07426204794127686,0.028943486444843205,0.10189094143092604,0.0,0.25,-0.5986966292608299,88.63219792483997,0.0,0.0,0.0
1,3109754,3116761,0,95.625,95.5,0.6959705453537527,95.0,97.0,2.0,1.0,0.007278123350104603,-10.703582132153558,1.0,0.6546536707079771,0.0,627.4840613130765,4.545352168062405,0.009287673062477563,0.0039599586238024745,0.012922208272724067,0.020982426579183804,0.0,1.0,0.2713144828295463,94.74503905298421,0.0,0.0,0.0
1,3109754,3126745,0,96.88235294117646,97.0,1.4504503536397593,95.0,99.0,4.0,2.0,0.014971254409153558,13.05119981578902,2.0,0.7905694150420949,0.0,619.4465059737701,9.263250628431816,0.03862167617719637,0.012135739759004406,0.04944532104826716,0.11814109499852317,0.058823529411764705,0.7647058823529411,0.24385242346409666,93.27973328822344,0.0,0.0,0.0
1,3109754,3136745,0,97.20833333333333,98.0,1.3533651474093096,95.0,99.0,4.0,2.0,0.013922316132800441,6.551177711057982,1.0,0.7518094115561123,0.0,617.3513499350644,8.642603713945118,0.030065678169285074,0.011545799760517818,0.04380287539131816,0.10227168209661928,0.041666666666666664,0.8333333333333334,0.09455082331426111,94.37100506649219,0.0,0.0,0.0
